Date,Unemployment Rate,GDP ((US total) - FRED),Consumer Condifence (FRED),Inflation Rates (CPI),Interest Rates (30 Yr Mort),rf_13 WEEK,rf_26 WEEK,rf_1 Yr,rf_3 Yr,rf_5 Yr,rf_10 Yr(+),rf_20-Yr
2002-01-01,5.7,10783.5,100.5978,1.1,6.9975,1.71,1.81,2.28,3.75,4.52,5.71,5.74
2002-01-02,5.7,10783.5,100.5978,1.1,6.9975,1.71,1.81,2.28,3.75,4.52,5.71,5.74
2002-01-03,5.7,10783.5,100.5978,1.1,6.9975,1.7,1.78,2.24,3.71,4.48,5.82,5.86
2002-01-04,5.7,10783.5,100.5978,1.1,6.9975,1.69,1.78,2.25,3.72,4.5,5.79,5.83
2002-01-05,5.7,10783.5,100.5978,1.1,6.9975,1.69,1.78,2.25,3.72,4.5,5.79,5.83
2002-01-06,5.7,10783.5,100.5978,1.1,6.9975,1.69,1.78,2.25,3.72,4.5,5.79,5.83
2002-01-07,5.7,10783.5,100.5978,1.1,6.9975,1.66,1.73,2.19,3.61,4.39,5.83,5.87
2002-01-08,5.7,10783.5,100.5978,1.1,6.9975,1.65,1.74,2.19,3.6,4.39,5.72,5.76
2002-01-09,5.7,10783.5,100.5978,1.1,6.9975,1.65,1.73,2.17,3.57,4.38,5.73,5.77
2002-01-10,5.7,10783.5,100.5978,1.1,6.9975,1.65,1.71,2.1,3.46,4.27,5.72,5.76
2002-01-11,5.7,10783.5,100.5978,1.1,6.9975,1.55,1.59,1.98,3.28,4.14,5.61,5.64
2002-01-12,5.7,10783.5,100.5978,1.1,6.9975,1.55,1.59,1.98,3.28,4.14,5.61,5.64
2002-01-13,5.7,10783.5,100.5978,1.1,6.9975,1.55,1.59,1.98,3.28,4.14,5.61,5.64
2002-01-14,5.7,10783.5,100.5978,1.1,6.9975,1.55,1.58,2.0,3.32,4.15,5.56,5.6
2002-01-15,5.7,10783.5,100.5978,1.1,6.9975,1.57,1.6,1.99,3.32,4.14,5.57,5.62
2002-01-16,5.7,10783.5,100.5978,1.1,6.9975,1.58,1.62,2.01,3.36,4.16,5.52,5.56
2002-01-17,5.7,10783.5,100.5978,1.1,6.9975,1.61,1.69,2.09,3.49,4.28,5.53,5.58
2002-01-18,5.7,10783.5,100.5978,1.1,6.9975,1.59,1.67,2.08,3.43,4.23,5.6,5.65
2002-01-19,5.7,10783.5,100.5978,1.1,6.9975,1.59,1.67,2.08,3.43,4.23,5.6,5.65
2002-01-20,5.7,10783.5,100.5978,1.1,6.9975,1.59,1.67,2.08,3.43,4.23,5.6,5.65
2002-01-21,5.7,10783.5,100.5978,1.1,6.9975,1.59,1.67,2.08,3.43,4.23,5.6,5.65
2002-01-22,5.7,10783.5,100.5978,1.1,6.9975,1.66,1.72,2.11,3.48,4.27,5.55,5.59
2002-01-23,5.7,10783.5,100.5978,1.1,6.9975,1.68,1.74,2.15,3.58,4.36,5.58,5.62
2002-01-24,5.7,10783.5,100.5978,1.1,6.9975,1.69,1.78,2.22,3.67,4.4,5.68,5.73
2002-01-25,5.7,10783.5,100.5978,1.1,6.9975,1.69,1.79,2.25,3.71,4.46,5.67,5.71
2002-01-26,5.7,10783.5,100.5978,1.1,6.9975,1.69,1.79,2.25,3.71,4.46,5.67,5.71
2002-01-27,5.7,10783.5,100.5978,1.1,6.9975,1.69,1.79,2.25,3.71,4.46,5.67,5.71
2002-01-28,5.7,10783.5,100.5978,1.1,6.9975,1.7,1.82,2.28,3.73,4.48,5.68,5.72
2002-01-29,5.7,10783.5,100.5978,1.1,6.9975,1.69,1.8,2.23,3.59,4.35,5.68,5.72
2002-01-30,5.7,10783.5,100.5978,1.1,6.9975,1.72,1.82,2.23,3.61,4.37,5.59,5.63
2002-01-31,5.7,10783.5,100.5978,1.1,6.9975,1.73,1.85,2.29,3.7,4.42,5.6,5.64
2002-02-01,5.7,10783.5,100.8044,1.1,6.8925,1.73,1.83,2.22,3.62,4.37,5.63,5.68
2002-02-02,5.7,10783.5,100.8044,1.1,6.8925,1.73,1.83,2.22,3.62,4.37,5.63,5.68
2002-02-03,5.7,10783.5,100.8044,1.1,6.8925,1.73,1.83,2.22,3.62,4.37,5.63,5.68
2002-02-04,5.7,10783.5,100.8044,1.1,6.8925,1.74,1.81,2.19,3.52,4.29,5.59,5.63
